o	autorização/letra/caractér/carácter
susto	emoção/abalo/comoção/sentimento
avô	antepassado/avós/idoso/velho/varão/macho/homem
lusitano	europeu
ângulo	espaço
cólera	raiva/ira/zanga/emoção/abalo/comoção/sentimento
sobressalto	surpresa/espanto/admiração
relevância	ligação/relação
cepticismo	descrença
sábio	mentor
truque	artimanha/interpretação/apresentação/manobra/avião/aeronave/aeroplano
conjugação	inflexão
faceta	qualidade/característica
ozono	gás
sintonia	melodia/toada
vivenda	casa/lar/aposento/moradia/habitação/residência/morada/domicílio/prédio/edifício
paróquia	jurisdição/comunidade
gota	bola/bocado/esfera/artrite/fragmento/pedaço
perímetro	fronteira/limite/borda/dimensão/medida/magnitude/tamanho
perplexidade	vergonha
recenseamento	enumeração/conta/contagem
pau	barra/implemento/falo/instrumento/ferramenta/verga/pênis/pinto/caralho/membro
simulação	técnica/modelação/modelagem/teoria
pico	traseiro/área/região
evocação	imaginação
pico	convexidade
anomalia	posição/local/lugar
armadilha	rede/ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento
contraponto	polifonia
gargalhada	risada/riso
retórica	estilo/literatura/língua/discurso/linguagem
milénio	período/etapa/tempo
marinho	azul
reticência	ponto
estadia	permanência
parto	nascimento/acção/ação/ato/feito
anel	joalharia/joalheria/jóia/pêlo/cabelo
etiqueta	tag/regra/prescrição/norma/selo/marca/rótulo
reconstituição	interpretação/representação/atuação
porte	preço/custo
apetite	desfastio/anseio/gana/sentimento/emoção/impressão
morada	casa/abrigo/alojamento
galinha	galináceo/galo/frango
preceito	regra/prescrição/norma/doutrina/filosofia
certificado	documentação/documento
infinito	propriedade/característica/predicado/atributo
escravo	escrava/trabalhador/alma/indivíduo/alguém/pessoa/servo
compilação	reunião/antologia/florilégio/selecta
artifício	obstáculo/engano/desvantagem
traseiro	dente/componente/porção/conclusão/anatomia/costas/região/extremidade/face/lado/término/fim/cabo/reverso/dorso/parte
humilhação	degradação
vegetal	legume/erva/maconha/criatura/organismo/ser/verdura/hortaliça
saxofonista	tocador/instrumentista/instrumentalista/músico
apresentador	comunicador
punho	mão/trinco/alça/cabo
demagogia	apelo/súplica/petição
vulcão	monte/montanha
radiação	emanação/energia
roteiro	guião/script
roteiro	pressuposto
horta	jardim/horto
intimidade	pertence/incomunicação/isolamento
patriarca	velho/clérigo/avô/liderança/responsável/cabeça/líder/chefe/varão/macho/homem/antepassado
signo	indício/sugestão/pista
signo	região
sedução	atração/tentação/êxito/sucesso/triunfo
avó	avós/avô
pássaro	vertebrado
partícula	átomo/corpo
camioneta	camião/caminhão
prof.	pedagogo/educador
intoxicação	enfermidade/doença
colagem	montão/colecção/ruma/chusma/coleção/grupo/aglomeração/imagem/desenho/figura/fotografia/ilustração/ícone
divertimento	ocupação/entretenimento/atividade/diversão
doação	partilha/partição/dom/aquisição/dádiva/presente/brinde
stress	dificuldade/nervosismo/problema/tensão
gozo	felicidade/alegria
renúncia	documentação/documento/conclusão/rejeição
antecedente	referente
parente	alma/indivíduo/alguém/pessoa
clarificação	melhoramento/melhoria
dedicação	colaboração/cooperação
oxigénio	gás
furo	buraco/abertura
entusiasta	seguidor/adorador/admirador
italiana	românica/europeu
catedrático	professor/acadêmico
coima	intimação/multa
acessório	componente/parte/vestido/traje/vestimenta/vestuário/roupa
desacordo	conflito/confronto/recontro
fosso	vala/buraco/oco
reunificação	junção/unificação
gerador	aparato/máquina/aparelho/equipamento/motor
missiva	documento/texto
antiguidade	idade/época/era/período
delírio	mania/dissimulação
legenda	interpretação/título/organização/tradução
capitalista	conservador/alma/indivíduo/alguém/pessoa
pose	certeza/segurança
intriga	conspiração
mato	região
dama	figurinha/mulher/madame/senhora
configuração	esquema/plano
peregrino	crente/viajante
magistratura	posto/cargo/posição
varanda	edifício/alpendre/tecido/estrutura
excerto	passagem
selva	lugar/floresta/ponto/localização/mata/bosque/bioma/terra/chão/solo/relevo
moradia	casa/abrigo/alojamento
montra	janela
moderação	redução/diminuição/grau
seguidor	caçador/advogado/representante/defensor/proponente/entusiasta/alma/indivíduo/alguém/pessoa
arsenal	fundição/arma/armamento
bota	calçado
adolescência	imaturidade/maturidade/época/período
bienal	flora/planta/vegetal
trono	posição/cargo/posto
preferido	escolha/selecção
quinzena	período/etapa/tempo
tábua	madeira/placa/chapa/lousa
balada	canção/poema/acontecimento/festa/cantiga/poesia
cristianismo	comunidade/igreja/religião/grupo/fé
partes	meio/ambiente
provisão	estoque
manuscrito	autógrafo
agregado	suma
estimulante	conhecimento/informação/sonífero/medicamento/narcótico/entorpecente/remédio/droga
formulação	ideia/idéia/concepção/conceito
enfermeira	médico
antepassado	antecessor/parente/ancestral
bastião	guarda/baluarte/fortaleza/fortificação
servidor	computador/serventuário/funcionário/calculadora/trabalhador
raiva	emoção/abalo/comoção/sentimento/ira/cólera/zanga/zoonose
galáxia	montão/colecção/ruma/chusma/coleção/grupo/aglomeração
concordância	pacto/acordo/aliança/aprovação/consenso/conformidade
individualidade	peculiaridade/feição
latino-americano	americano
providência	tutela/cuidado
traje	cobertura/capa/vestido/vestimenta/vestuário/roupa
decadência	abatimento/pecado/aviltamento/diminuição
soprano	voz/altura/tom/cantador/cantor/cantora/vocalista
evacuação	retirada/expulsão/eliminação/remoção
caução	declaração/garantia
granada	romã/fruta/mineral/bomba
recrutamento	feito/conquista/consumação/façanha/realização
homossexualidade	sexo/transa
cúpula	telhado/teto/reunião/domo
sessenta	época/período
namorada	mulher/amado/amante
jurisdição	poder/terra/domínio/território/circunscrição/país/distrito/condado/comarca
livreiro	dono/proprietário
impotência	qualidade
gala	festa/celebração/festividade
namorado	amante/participante/amado/varão/macho/homem
cruzada	expedição
privacidade	incomunicação/isolamento
dicionário	vocabulário
rebelião	resistência/luta/conflito/insurreição/revolta
castelhano	espanhol/românica
discordância	qualidade/conflito/confronto/recontro/discórdia/desacordo/discrepância/diferença
achado	lampejo/descobrimento/descoberta/epifania/insight
leito	depressão/fundo
impedimento	engano/obstáculo/erro/falha/equívoco/dificuldade/problema/acção/ação/ato/feito
luto	ocupação/vestuário/pesar/tristeza/liga/roupa/atividade/manifestação/reflexão
complicação	complexidade/situação/impedimento/doença/condição/interferência
hindu	asiático/asiática
ídolo	desenho/efígie/imagem/figura/ilustração
reembolso	compensação/remuneração/pagamento/recompensa
vala	fossa/trincheira/buraco/oco
sigla	símbolo/simbolo/aceno/emblema/sinal
liga	faixa/associação/união/ordem/sociedade/organização/solução/mistura
película	produção/produto/espectáculo/show
elevação	propulsão/deslocamento/impulsão/formação/movimento/traslado
suicida	assassino/matador
teologia	sistema/terreno/campo/disciplina/domínio
fundamentalismo	protestantismo
estômago	anatomia/víscera
feto	vertebrado
respiração	expiração/ar/metabolismo
farinha	alimento
triângulo	formato/forma/polígono
especialização	converter/adaptação/vocação/terreno/ocupação/profissão/campo/disciplina/domínio
alinhamento	posição/reajuste/regulação/espaçamento
flutuação	irregularidade/mudança/alteração/variação/modificação
rescaldo	fragmento
desordem	condição/estado/situação
posicionamento	ocupação/atividade
paquistanês	asiático/asiática
auge	nível/período/etapa/tempo/grau/ápice/fase
matadouro	prédio/edifício
liberalismo	independência/ideologia/liberdade
desprezo	descortesia/desconsideração/aversão/ódio
anedota	relato/relatório
espião	agente
caricatura	humor
diversificação	mudança
gruta	formação/caverna/furna
gastronomia	arte/cozinha/culinária
n	letra/caractér/carácter
metido	ninguém
punição	penalidade/castigo/penalização
ênfase	intensidade/tonicidade/prosódia/importância/acento
gordura	sujeira/macromolécula/lípido
transplante	movimento/cirurgia/operação
caminhada	travessia/jornada/viagem/locomoção
mármore	rocha/pedra
milho	cereal
paradoxo	contradição
arrendamento	transação/período/etapa/tempo
reeleição	eleição
reparo	melhoramento/melhoria
tiroteio	batalha/pugna/peleja/combate/disputa/luta
renascimento	ressurgência/ressurreição/revitalização/revivalismo
calibre	diâmetro/grau
cirurgia	medicina
nevoeiro	ambiente/atmosfera/neblina/aerossol
discrição	sabor/poder
inventário	artigo/mercadoria/fazenda/produto/lista/listagem
medição	ocupação/atividade
túmulo	área/região/estância/sepultura/tumba
dieta	jejum/nutriente/comida/alimento
sequestro	apropriação
cinto	acessório/restrição/limitação
vice	desafiante/mal/maldade/concorrente/adversário/inimigo/contendor/rival/competidor/opositor
ó	letra/caractér/carácter
x	letra/caractér/carácter
psicologia	ciência
extracção	atividade
monarca	governador/governante
guerreiro	guardião/alma/indivíduo/alguém/pessoa/tutor/defensor/guarda
colina	elevação/barranco/monte/morro/montanha/ladeira
plantação	fazenda
xiita	advogado/muçulmano/representante/defensor/proponente
etíope	africano
cintura	porção/parte
intolerância	impaciência/atitude
tronco	caule/anatomia/órgão
naturalidade	ingenuidade/singeleza/qualidade
bolsista	aluno/pupilo/estudante
lavagem	alimento/tarefa/trabalho
grade	cultivador/porta/estrutura/portão/obstáculo/barreira/infra
clandestinidade	incomunicação/isolamento
semente	fruta/fruto
conformidade	colaboração/pacto/correspondência/cooperação/acordo/aliança/aprovação/consenso
discípulo	caçador/seguidor
represália	revanche/vingança
tribuna	tablado
cancelamento	negação/anulação
solteiro	varão/macho/homem
surto	ocorrência/evento/acontecimento
estufa	viveiro/plantel/prédio/edifício
lentidão	passo/ritmo
salvamento	recuperação
maravilha	ocorrência/evento/acontecimento/surpresa/espanto/admiração
multiplicação	crescimento/acréscimo/aumento/incremento
evasão	modo/fuga/jeito/caminho/ferramenta/maneira/meio/escape/escapada/engano
viajante	peão/turista/pedestre/alma/indivíduo/alguém/pessoa
sobrinho	primo/parente
degrau	apoio/suporte/encosto
molécula	unidade
emissário	representante
motim	rebelião/insurreição/revolta
botão	parte/ferramenta/produto/utensílio/artefato/chave/interruptor/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento/fragmento
barão	nobre/par/lorde
endividamento	obrigação
caseiro	adulto
lagoa	lago
irritação	incômodo/raiva/ira/cólera/zanga/moléstia/contrariedade
vistoria	reunião/encontro
viola	erva/maconha
generosidade	partição/amabilidade/partilha
incompetência	incapacidade
supressão	prevenção
beijo	contato/toque
gasoduto	óleoduto/oleoduto
convivência	relação/ligação
espada	arma/armamento/gládio/baralho/carta
sumo	alimento
notificação	solicitação/aviso/anúncio/requerimento/petição/requisição/pedido/apelo
indicativo	modalidade/modo
lobo	cão/canídeo
vitalidade	energia/vigor
implementação	acção/ação/ato/feito
contrabando	importação/produto/fazenda/mercadoria/artigo
donativo	dom/dádiva/presente/brinde/doação
persistência	prosseguimento/determinação/continuação/resolução
bicha	linha/array/alma/formação/ordem/fila/indivíduo/alguém/pessoa
guião	script/roteiro
vizinhança	ambiente/região/comunidade/terra/domínio/território/circunscrição/país/distrito/condado/comarca
burguês	plebeu
sinônimo	verbo/palavra/termo/vocábulo
fotocópia	cópia/reprodução/ilustração/figura/imagem/retrato/desenho/fotografia/foto
harmonização	canto/canção
humidade	estado/situação/condição
cristal	componente/rocha/vidro/parte/sólido/pedra
desabafo	ocupação/atividade
fogueira	incêndio/fogo
entretenimento	diversão
comparativo	adjetivo/adjectivo/advérbio
ousadia	agressividade
discografia	catalogação/catálogo
abismo	vão/fenda/fundão/boqueirão/sorvedouro/precipício
cortina	mobília/móvel/mobiliário/capa/fronha
cantina	restaurante/loja
trigo	cereal
incorporação	inclusão/compra/aquisição
armazenamento	retenção/colocação/depósito
camionista	chofer/condutor/motorista/conductor
ovelha	bovídeos/carneiro
tranche	atribuição
profeta	adivinhador/adivinho/adivinha
saia	vestuário/roupa
fortaleza	defesa
sexta	classe/hierarquia/posição/posto
trecho	passagem
cenografia	figura/teatro/ilustração/desenho/imagem/representação/palco
flauta	tocador/instrumentista/instrumentalista/músico
baía	oceano/água
missionário	professor/mestre/instrutor/docente
farsa	comédia
oscilação	atividade/gerador/onda
suspense	esperança
criatura	alma/indivíduo/alguém/pessoa/organismo/ser
eslovaco	europeu/eslavo
macaco	implemento/primata/ferramenta/instrumento
fanático	entusiasta/advogado/representante/defensor/proponente/xiita
encanto	mágica/ilusionismo/magia
sigilo	incomunicação/isolamento
átrio	pátio/quarto/terreiro/câmara/aposento/sala
erva	maconha/condimento/tempero/gramínea
protótipo	exemplar/exemplo
régua	ferramenta/metro
mentor	intelectual/intelecto
unitário	grupo/jogo
revés	ocorrência/evento/acontecimento
consentimento	conformidade/aliança/acordo/pacto/aplauso/consenso/autorização/aprovação/sanção
tónica	nota/tom
coral	rosa/cor-de-rosa
xeque	governador/movimento/governante
pousada	hotel
anfiteatro	estádio
dourado	amarelo
cesto	cesta/continente/contentor/caixa/jarro/vaso/vasilha
contrabaixo	guitarra/violão/baixo
constelação	natureza
antecedência	precocidade
embaraço	gravidez
comarca	região
corretor	intermediário/broker/empresário
distorção	equívoco/falha/erro/engano
artesão	creador/artífice/criador
desperdício	imprevidência/ocupação/atividade
biologia	vida/montão/colecção/ruma/chusma/coleção/grupo/aglomeração
discórdia	bagunça/dissonância/luta/conflito/batalha/desordem/discordância/desacordo/discrepância
altar	mesa/edifício/tecido/estrutura
notoriedade	luz/candeia/lâmpada
esboço	croqui/pintura/figura/desenho/imagem/ilustração
afegão	asiático/asiática
prosperidade	sorte
t-shirt	camisa
enredo	história/estória/conto
